#,  a,      d,      alpha,      theta
1,  0.00,   6.60,   -90,        10
2,  4.32,   1.49,   0.0,        10
3,  0.20,   0.00,   -90,        10
4,  0.00,   4.32,   -90,        10
5,  0.00,   0.00,   90,         10
6,  0.00,   0.56,   0.0,        10
